id,tweet,,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,@yesbiker4indy @amanteros @Harri_Est @mfa_russia @wikileaks @RusEmbUSA @RussianEmbassy @natomission_ru @NATO @RussianEmbassyC @RusMission_EU @RusEmbIndia @RusEmbJakarta @RusEmb_KSA @EmbassyofRussia So vague and stupid,,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,Big question: Russia cut oil/gas to Europe? China will buy from Russia. India preparing. KSA/UAE do not want to talk to 46. Nobody respects Biden. Nobody respects a traitor.  You know all this.  This is the “international community... --- See more on GETTR  https://t.co/2rFmId8w80  https://t.co/jU0D4LySpo,,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,@Suraj_m_Nirmale @agent1220 @PossieElizabet1 @RT_com So tell us all about the Russia/India social and cultural exchanges then.,,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,@Jammi_Dodger @AdamBienkov Neither He nor She own the business AH. Her father who is an Indian citizen owns the share in infosys. Infosys has business in many countries not just Russia. Let that sink in your thick nut,,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,"@realGonzaloLira Russia has its own interests to prolong this war while extracting $$$$ from energy starved Western Europe to build parallel economy with its alliance (India,  China,  North Korea,  Iran to name few).",,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,@OliverBrowne16 @Reuters Taiwan and Antarctica are yet to come with Russia China and India now trading on the gold back system that gadaffi was killed for it should be interesting to see what happens the mighty dollar one thing for sure whole new banking system coming,,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,"@warren__terra Bottom line, unless there's some sort of international unanimity including China/India/Israel on Russia losing its UNSC veto and the US keeping its veto, the status quo is going to hold (and we need it to- the UN is greatly beneficial to the US).",,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,"when I say... poverty, illiteracy, religious rage, profound income inequality, violence, and rotting infrastructure  you think... India, China, Russia, Argentina  problem?  I was describing... United States... specifically those 'red states' so proud of their impoverishment",,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,"@agent1220 @CryptoMike999 @PossieElizabet1 @RT_com Lol , India and Russia relationship is beyond west's understanding. It's social exchange, cultural exchange, and many more , there was era where every indian movie is subbed in Russian and watched in Russia.",,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,"Sakthivel went on to add that the sanctions actually allow the Indian economy to make expansion into the Russian markets.  Now that the whole of the West is banning Russia, there will be a lot of opportunities for Indian firms to enter Russia,",,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,"@PrisonPlanet France is accepting refugees as well so they will end up in UK. In 50 yrs time China, Russia, India, Saudia Arabia will be full of Chinese, Russians, Indians, Arabs, all with their cultures intact. The rest of us will be a melting pot under the WEF United Countries!",,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,@SamRamani2 EU countries are fortunate to have USA on one side sanctioning &amp; Russia on the otherside.Its completely win-win for EU. stage is set for an epic battle—USA -EU-RUSSIA/CHINA.India would glad to be the refree to maintain a rule based order byt it is beneath its dignity to involve,,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,India set to bypass US dollar for trade with Russia  https://t.co/0EWxdYO973,,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,"@SamRamani2 @sentdefender For everyone saying India, China and Asia will buy natural gas from Russia, here's a map with Russia pipelines in Asia.Doted lines are pipelines proposed or under construction.Enjoy and try to explain how that NG will be delivered 🤣  https://t.co/huxWf8nS9T",,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,India set to bypass US dollar for trade with Russia  https://t.co/YZ112ekzD3,,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,India set to bypass US dollar for trade with Russia  https://t.co/EdLGcvwaCl,,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,@dll_kernel32 @mfa_russia @BRICSRussia2020 @BRICSG20Civil @TheBricsPost @bricscouncil_in @Itamaraty_EN @indiandiplomats @MFA_China @Rusembchina @EmbassyofRussia @DIRCO_ZA So does Venezuela and Syria...doesn't mean that it's a truly free and open election.,,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,"@naman00099 @ZelenskyyUa @BorisJohnson Is there something a little bit not quite right in the head with you Indians? There are loads of you supporting Russia. Which is weird, because India is one of the largest democracies in the world, yet you're supporting a murderous dictator that has just invaded a democracy.",,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,@CryptoMike999 @PossieElizabet1 @RT_com It's dumb Russian propaganda. US and UK have so many Indian immigrants it's not even funny. Russia has very little connection to India beyond buying their crappy military tech.,,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,"Weg met de NATO! Weg met het militarism,bewapening&amp;oorlog!Weg met het fascism&amp;imperialism!#Op1 #jinek,Ukraine,Russia,Russian,Putin,Opportunity,West,Belgium,Germany,Italy,France,England,Europe,EU,America,US,Biden,F-35,Canada,Japan,China,India,Turkey,Earth,Oscars,#UkraineRussianWar",,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,India set to bypass US dollar for trade with Russia  https://t.co/pFFOyWSKr9,,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,"@cnnbrk China, India, Africa, Middle East, South America who all abstained from using economic extortion on Russia, all knew very well US regime's intentions...",,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,"“At the bustling tea stands of Delhi…”  How a conflict 2,800 miles away in Ukraine is exposing India’s complicated relationship with Russia, the West and its place in the modern world, via today’s @guardian:  https://t.co/QAqjC2Yhh8",,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,@IndiaSpeaksPR Why have we blocked Russia Today feed ? 🤷🏻‍♂️,,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,"@ontic5 @MaxBoot Global warming is a red herring.  It is not a threat. Even if it were nothing the USA does matters if Russia, China, India, Indonesia and developing nations are not on board.  And they will not do anything against their interests.   Paris accords are a redistribution scheme.",,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,"@tom_singer88 @BitterTonic @christogrozev @novaya_gazeta They will stay nuetral and just continue normal trade with Russia until US and EU start trying to sanction them, then they will side with russia, the time of the west flexing china or India is over, especially china",,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,First Kingdom Of The North Europe First Kingdom Of The Eagle United States Of America First Kingdom Of The Bear Russia First Kingdom Of The Meridian Southern Africa Parts Of India Parts Of China,,,,,,,,,,,,,,,,,,,,,,,
1.51E+18,"With India buying Russian oil, it cannot declare itself as being neutral. Maybe we need to be honest here. The new axis powers are the UK, Israel, Russia and India. The sanctions need to be harder and we need stop offering aid to India!",,,,,,,,,,,,,,,,,,,,,,,
